"","handle","followers"
"835","publicintegrity","130 292 "
"836","SNYtv","130 203 "
"837","EatingWell","130 187 "
"838","WorldOil","130 047 "
"839","Brexit","128 984 "
"840","ABC_Publicity","128 589 "
"841","NCRegister","128 255 "
"842","surferfilms","127 254 "
"843","NatSecCNN","127 022 "
"844","KOINNews","126 796 "
"845","HuffPostEnt","126 466 "
"846","CBSSportsNet","126 255 "
"847","ReutersTV","126 200 "
"848","FOX40","125 942 "
"849","ObserverMKTG","125 699 "
"850","BravesOnBally","125 406 "
"851","PlayboyRadio","125 004 "
"852","Dance_Magazine","124 835 "
"853","fox5ny","124 744 "
"854","wrtv","124 596 "
"855","TravelWeeklyUS","124 411 "
"856","theGrio","123 910 "
"857","VERANDAmag","123 835 "
"858","BR_CFB","123 827 "
"859","WFAN660","123 333 "
"860","wusa9","123 309 "
"861","RiverfrontTimes","123 078 "
"862","whnt","123 019 "
"863","KCCINews","122 817 "
"864","virginianpilot","122 527 "
"865","KHONnews","121 636 "
"866","sanfranmag","121 556 "
"867","BuzzFeedVideo","121 505 "
